,date,playoff,HOME,AWAY,ELO_H,ELO_A,ELO_Ha,ELO_Aa,H_SCORE,A_SCORE,LAST_5_H,LAST_5_A,BACK_H,BACK_A,WL
178,2018-11-10,,CHI,CLE,1356.34457,1434.241824,1360.063927,1430.522467,99,98,102.8,101.4,0,0,1
179,2018-11-10,,SAS,HOU,1522.707881,1573.002045,1529.649199,1566.060726,96,89,108.0,95.6,0,0,1
180,2018-11-10,,GSW,BRK,1687.612223,1475.296093,1690.809289,1472.099027,116,100,124.8,113.8,0,1,1
181,2018-11-10,,DAL,OKC,1372.532527,1596.175597,1392.577494,1576.130629,111,96,109.6,112.0,0,0,1
182,2018-11-10,,SAC,LAL,1464.064257,1493.329773,1446.927279,1510.466751,86,101,117.6,113.8,1,0,0
183,2018-11-11,,DET,CHO,1489.864871,1526.061192,1476.943187,1538.982876,103,113,112.0,120.6,0,0,0
184,2018-11-11,,HOU,IND,1566.060726,1569.267478,1573.927364,1561.40084,115,103,96.4,101.4,1,0,1
185,2018-11-11,,NYK,ORL,1405.716136,1362.300597,1374.737832,1393.278901,89,115,110.4,105.4,1,0,0
186,2018-11-11,,DEN,MIL,1602.684389,1620.473775,1591.587498,1631.570665,114,121,105.0,124.0,0,1,0
187,2018-11-11,,POR,BOS,1621.764428,1582.777055,1626.079115,1578.462369,100,94,117.4,111.2,0,0,1
188,2018-11-11,,LAL,ATL,1510.466751,1338.753721,1511.615926,1337.604546,107,106,110.0,111.2,1,0,1
189,2018-11-12,,WAS,ORL,1439.156135,1393.278901,1444.060275,1388.37476,117,109,108.6,109.4,0,1,1
190,2018-11-12,,TOR,NOP,1652.695211,1555.350866,1627.422031,1580.624046,110,126,118.8,111.2,0,0,0
191,2018-11-12,,MIA,PHI,1470.950461,1570.44088,1460.553486,1580.837855,114,124,109.0,109.0,0,0,0
192,2018-11-12,,OKC,PHO,1576.130629,1284.796735,1578.252718,1282.674646,118,101,109.0,98.0,0,0,1
193,2018-11-12,,MEM,UTA,1441.150118,1597.891398,1433.87097,1605.170547,88,96,102.4,107.8,0,0,0
194,2018-11-12,,CHI,DAL,1360.063927,1392.577494,1351.197866,1401.443556,98,103,101.2,110.2,0,0,0
195,2018-11-12,,MIN,BRK,1484.151452,1472.099027,1489.464992,1466.785487,120,113,101.8,109.8,0,0,1
196,2018-11-12,,SAC,SAS,1446.927279,1529.649199,1453.523792,1523.052687,104,99,113.4,104.6,0,0,1
197,2018-11-12,,LAC,GSW,1554.070541,1690.809289,1562.084854,1682.794976,121,116,117.2,118.2,0,0,1
198,2018-11-13,,CLE,CHO,1430.522467,1538.982876,1449.727982,1519.777361,113,89,93.8,118.2,0,0,1
199,2018-11-13,,DEN,HOU,1591.587498,1573.927364,1576.393922,1589.12094,99,109,105.8,95.6,0,0,0
200,2018-11-13,,GSW,ATL,1682.794976,1337.604546,1683.683011,1336.71651,110,103,115.2,109.4,1,0,1
201,2018-11-14,,ORL,PHI,1388.37476,1580.837855,1397.950304,1571.262312,111,106,107.8,112.0,0,0,1
202,2018-11-14,,WAS,CLE,1444.060275,1449.727982,1456.786601,1437.001656,119,95,109.8,98.2,0,1,1
203,2018-11-14,,BOS,CHI,1578.462369,1351.197866,1582.923871,1346.736363,111,82,106.6,99.8,0,0,1
204,2018-11-14,,BRK,MIA,1466.785487,1460.553486,1449.423298,1477.915676,107,120,110.2,108.2,0,0,0
205,2018-11-14,,TOR,DET,1627.422031,1476.943187,1617.647992,1486.717226,104,106,119.4,108.8,0,0,0
206,2018-11-14,,MIN,NOP,1489.464992,1580.624046,1497.606149,1572.482889,107,100,106.0,112.6,0,0,1
207,2018-11-14,,OKC,NYK,1578.252718,1374.737832,1582.831353,1370.159197,128,103,105.8,104.6,0,0,1
208,2018-11-14,,MIL,MEM,1631.570665,1433.87097,1619.134948,1446.306686,113,116,125.6,98.0,0,0,0
209,2018-11-14,,DAL,UTA,1401.443556,1605.170547,1446.376633,1560.23747,118,68,108.2,107.0,0,0,1
210,2018-11-14,,PHO,SAS,1282.674646,1523.052687,1308.201895,1497.525438,116,96,98.6,100.4,0,0,1
211,2018-11-14,,LAL,POR,1511.615926,1626.079115,1521.87341,1615.821631,126,117,108.6,111.0,0,0,1
212,2018-11-15,,HOU,GSW,1589.12094,1683.683011,1605.731027,1667.072925,107,86,98.2,114.0,0,0,1
213,2018-11-15,,DEN,ATL,1576.393922,1336.71651,1582.146825,1330.963607,138,93,105.0,105.4,0,0,1
214,2018-11-15,,LAC,SAS,1562.084854,1497.525438,1565.560263,1494.050029,116,111,118.8,97.8,0,1,1
215,2018-11-16,,WAS,BRK,1456.786601,1449.423298,1441.132312,1465.077587,104,115,112.0,107.2,0,0,0
216,2018-11-16,,PHI,UTA,1571.262312,1560.23747,1576.169005,1555.330776,113,107,113.8,103.0,0,0,1
217,2018-11-16,,BOS,TOR,1582.923871,1617.647992,1589.434407,1611.137456,123,116,108.6,116.0,0,0,1
218,2018-11-16,,IND,MIA,1561.40084,1477.915676,1565.486595,1473.829921,99,91,100.6,108.2,0,0,1
219,2018-11-16,,NOP,NYK,1572.482889,1370.159197,1574.174691,1368.467395,129,124,113.6,106.2,0,0,1
220,2018-11-16,,MIN,POR,1497.606149,1615.821631,1512.619914,1600.807865,112,96,111.2,112.4,0,0,1
221,2018-11-16,,MEM,SAC,1446.306686,1453.523792,1452.553708,1447.27677,112,104,101.2,105.0,0,0,1
222,2018-11-16,,MIL,CHI,1619.134948,1346.736363,1621.690731,1344.18058,123,104,119.4,98.6,0,0,1
223,2018-11-17,,BRK,LAC,1465.077587,1565.560263,1456.014389,1574.623461,119,127,109.4,118.0,1,0,0
224,2018-11-17,,IND,ATL,1565.486595,1330.963607,1567.309174,1329.141028,97,89,100.0,103.6,1,0,1
225,2018-11-17,,ORL,LAL,1397.950304,1521.87341,1411.300947,1508.522767,130,117,109.6,111.0,0,0,1
226,2018-11-17,,NOP,DEN,1574.174691,1582.146825,1581.338548,1574.982969,125,115,116.2,109.6,1,0,1
