,date,HOME,AWAY,ELO_H,ELO_A,H_SCORE,A_SCORE,LAST_5_H,LAST_5_A,A_SCORE,BACK_H,BACK_A,WL
214,11/15/2018,LAC,SAS,1562.084854,1497.525438,116,111,118.8,97.8,111,0,1,1
215,11/16/2018,WAS,BKN,1456.786601,1449.423298,104,115,112,107.2,115,0,0,0
216,11/16/2018,PHI,UTA,1571.262312,1560.23747,113,107,113.8,103,107,0,0,1
217,11/16/2018,BOS,TOR,1582.923871,1617.647992,123,116,108.6,116,116,0,0,1
218,11/16/2018,IND,MIA,1561.40084,1477.915676,99,91,100.6,108.2,91,0,0,1
219,11/16/2018,NOP,NYK,1572.482889,1370.159197,129,124,113.6,106.2,124,0,0,1
220,11/16/2018,MIN,POR,1497.606149,1615.821631,112,96,111.2,112.4,96,0,0,1
221,11/16/2018,MEM,SAC,1446.306686,1453.523792,112,104,101.2,105,104,0,0,1
222,11/16/2018,MIL,CHI,1619.134948,1346.736363,123,104,119.4,98.6,104,0,0,1
223,11/17/2018,BKN,LAC,1465.077587,1565.560263,119,127,109.4,118,127,1,0,0
224,11/17/2018,IND,ATL,1565.486595,1330.963607,97,89,100,103.6,89,1,0,1
225,11/17/2018,ORL,LAL,1397.950304,1521.87341,130,117,109.6,111,117,0,0,1
226,11/17/2018,NOP,DEN,1574.174691,1582.146825,125,115,116.2,109.6,115,1,0,1
227,11/17/2018,CHA,PHI,1519.777361,1576.169005,119,122,114.6,116.4,122,0,1,0
228,11/17/2018,BOS,UTA,1589.434407,1555.330776,86,98,111.8,102.2,98,1,1,0
229,11/17/2018,HOU,SAC,1605.731027,1447.27677,132,112,100,104,112,0,1,1
230,11/17/2018,CHI,TOR,1344.18058,1611.137456,83,122,96.2,114.4,122,1,1,0
231,11/17/2018,DAL,GSW,1446.376633,1667.072925,112,109,110.6,107.8,109,0,0,1
232,11/17/2018,PHO,OKC,1308.201895,1582.831353,100,110,101.4,107,110,0,0,0
233,11/18/2018,MIN,MEM,1512.619914,1452.553708,87,100,111.8,103.4,100,0,0,0
234,11/18/2018,ORL,NYK,1411.300947,1368.467395,131,117,116.4,108,117,1,0,1
